nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,fecha_procesamiento
3843735,(2019 QL7),26.65,0.0124324001,0.0277996916,False,2025-01-03,8.5809752089,58599408.62498077,2026-04-15 20:51:40.360015,0.02011604585,2026-04-15 15:56:41
54016994,(2020 JH1),24.9,0.0278326768,0.0622357573,False,2025-01-03,7.5364491932,62796481.54146041,2026-04-15 20:51:40.360019,0.04503421705,2026-04-15 15:56:41
54053733,(2020 RL),25.1,0.0253837029,0.0567596853,False,2025-01-03,8.7686642999,40923341.60903913,2026-04-15 20:51:40.360024,0.0410716941,2026-04-15 15:56:41
54279762,(2022 KA),25.15,0.0248058993,0.0554676771,False,2025-01-03,6.0043563141,37624380.971163616,2026-04-15 20:51:40.360029,0.0401367882,2026-04-15 15:56:41
54336914,(2022 YS5),24.84,0.0286124454,0.0639793729,False,2025-01-03,6.2612116938,16708864.457056709,2026-04-15 20:51:40.360033,0.046295909149999995,2026-04-15 15:56:41
54507938,(2024 YL1),27.32,0.0091317703,0.020419259,False,2025-01-03,4.783632141,2356964.228021136,2026-04-15 20:51:40.360038,0.014775514649999998,2026-04-15 15:56:41
54508760,(2024 YE2),25.23,0.0239086457,0.0534613571,False,2025-01-03,7.5259736958,22520907.46099667,2026-04-15 20:51:40.360043,0.0386850014,2026-04-15 15:56:41
54511958,(2024 YC9),26.96,0.0107784169,0.0241012728,False,2025-01-03,8.6924012752,1306415.340155464,2026-04-15 20:51:40.360048,0.01743984485,2026-04-15 15:56:41
54513047,(2025 AB),27.13,0.0099667824,0.022286403,False,2025-01-03,11.5602531925,153127.347506697,2026-04-15 20:51:40.360053,0.0161265927,2026-04-15 15:56:41
54513657,(2025 AE),25.74,0.0189040552,0.0422707525,False,2025-01-03,16.7458318545,6288669.776366644,2026-04-15 20:51:40.360058,0.03058740385,2026-04-15 15:56:41
54514893,(2025 AX1),26.85,0.0113384836,0.0253536201,False,2025-01-03,14.6021228615,1091513.33244692,2026-04-15 20:51:40.360063,0.01834605185,2026-04-15 15:56:41
54514029,(2025 AO),28.75,0.0047266667,0.010569148,False,2025-01-03,9.8164056072,459327.199940949,2026-04-15 20:51:40.360068,0.00764790735,2026-04-15 15:56:41
54515071,(2025 AN2),27.04,0.010388551,0.0232295062,False,2025-01-03,8.4915769333,706413.349326192,2026-04-15 20:51:40.360072,0.016809028599999998,2026-04-15 15:56:41
54515308,(2025 AC3),25.7,0.0192555078,0.0430566244,False,2025-01-03,7.1376457399,7830455.179602987,2026-04-15 20:51:40.360077,0.031156066099999997,2026-04-15 15:56:41
54516463,(2025 BE1),26.47,0.013506878,0.0302022973,False,2025-01-03,8.2396904194,7947528.079099067,2026-04-15 20:51:40.360082,0.02185458765,2026-04-15 15:56:41
54539579,(2025 OC17),23.12,0.0631764148,0.1412667581,False,2025-01-03,12.0852264257,20430381.24314568,2026-04-15 20:51:40.360092,0.10222158645,2026-04-15 15:56:41
2459462,459462 (2013 AY52),19.9,0.2783267681,0.6223575734,False,2025-01-02,17.4222331843,15830336.75368406,2026-04-15 20:51:40.360102,0.45034217075,2026-04-15 15:56:41
