id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
54520519,(2025 DC4),25.99,0.0168482569,0.0376738478,False,2025-02-04,5.6594166059,6059420.495177028,2026-02-25T21:13:34.958029
54524506,(2025 FP5),26.06,0.0163137941,0.0364787526,False,2025-02-04,4.15224082,8649286.810378505,2026-02-25T21:13:34.958031
2326290,326290 Akhenaten (1998 HE3),21.83,0.1144339731,0.2558821427,True,2025-02-03,16.1458794157,18470361.050567634,2026-02-25T21:13:34.958033
3092284,(2001 BX15),21.75,0.1187284988,0.2654849942,False,2025-02-03,13.6018707409,18251012.380811423,2026-02-25T21:13:34.958036
3358222,(2006 VX2),24.78,0.0294140602,0.0657718381,False,2025-02-03,9.3297750145,48256790.298385335,2026-02-25T21:13:34.958039
3601299,(2012 EL8),28.3,0.0058150704,0.0130028927,False,2025-02-03,10.0620446051,42225926.046939636,2026-02-25T21:13:34.958040
3656792,(2014 BA3),28.32,0.0057617575,0.0128836815,False,2025-02-03,14.7928492108,60818033.748617677,2026-02-25T21:13:34.958042
3745111,(2016 EJ27),25.3,0.0231502122,0.0517654482,False,2025-02-03,25.7941190379,73557953.633544453,2026-02-25T21:13:34.958044
3797702,(2018 AE13),24.5,0.0334622374,0.0748238376,False,2025-02-03,9.9602797086,45765037.566705914,2026-02-25T21:13:34.958047
3827356,(2018 RE3),27.3,0.0092162655,0.0206081961,False,2025-02-03,11.122841899,5948840.412515114,2026-02-25T21:13:34.958048
3989158,(2020 BY6),24.16,0.0391340663,0.0875064325,False,2025-02-03,12.0254400751,39942884.70879178,2026-02-25T21:13:34.958050
54138698,(2021 HR),25.8,0.0183888672,0.0411187571,False,2025-02-03,3.0255908505,64672958.938175035,2026-02-25T21:13:34.958055
54225504,(2021 PL132),28.21,0.0060611492,0.0135531417,False,2025-02-03,14.1684688503,13373453.789522938,2026-02-25T21:13:34.958057
54236439,(2022 AV4),25.8,0.0183888672,0.0411187571,False,2025-02-03,3.3848489195,6486643.259186414,2026-02-25T21:13:34.958059
54340307,(2023 BF6),26.73,0.011982708,0.0267941497,False,2025-02-03,14.079537012,19318931.780472784,2026-02-25T21:13:34.958061
54342224,(2023 DO),25.6,0.0201629919,0.0450858206,False,2025-02-03,12.741497576,26908457.765346757,2026-02-25T21:13:34.958081
54485066,(2024 SG5),24.37,0.0355267088,0.079440136,False,2025-02-03,3.9415980211,13967803.67362787,2026-02-25T21:13:34.958084
54496406,(2024 UN8),27.23,0.0095182033,0.0212833496,False,2025-02-03,3.0042970585,27528954.290371354,2026-02-25T21:13:34.958086
54505735,(2024 XT11),23.28,0.0586887658,0.1312320699,False,2025-02-03,7.5036264457,23229729.306110287,2026-02-25T21:13:34.958088
54517101,(2025 BZ2),26.3,0.0146067964,0.0326617897,False,2025-02-03,8.0750597237,11692296.443248102,2026-02-25T21:13:34.958090
54517242,(2025 BK3),27.72,0.0075954757,0.0169839999,False,2025-02-03,3.5483510215,4249271.338309602,2026-02-25T21:13:34.958092
54518078,(2025 CE),27.13,0.0099667824,0.022286403,False,2025-02-03,12.6566622549,1095429.580286715,2026-02-25T21:13:34.958094
54518077,(2025 CD),28.45,0.0054269395,0.0121350055,False,2025-02-03,13.6474197029,637720.819862148,2026-02-25T21:13:34.958096
54518083,(2025 CF),29.86,0.0028350125,0.0063392806,False,2025-02-03,12.2323913374,124256.828570072,2026-02-25T21:13:34.958098
54518670,(2025 CC1),28.18,0.0061454682,0.0137416847,False,2025-02-03,7.0020366146,2442469.747938953,2026-02-25T21:13:34.958100
54519244,(2025 CY2),28.21,0.0060611492,0.0135531417,False,2025-02-03,3.4162562514,1012794.678936541,2026-02-25T21:13:34.958102
54520180,(2025 DA2),25.57,0.0204434871,0.0457130269,False,2025-02-03,8.0964431081,5512279.734500541,2026-02-25T21:13:34.958104
54554631,(2025 UC6),29.49,0.0033616692,0.0075169209,False,2025-02-03,4.1669669007,28999646.507284615,2026-02-25T21:13:34.958106
3617387,(2012 VE46),20.2,0.2424124811,0.5420507863,True,2025-02-02,13.2056022631,66886272.21544292,2026-02-25T21:13:34.958108
3831890,(2018 UJ1),23.4,0.0555334912,0.1241766613,False,2025-02-02,6.2623765853,70331538.852108657,2026-02-25T21:13:34.958111
3991734,(2020 DH2),25.2,0.0242412481,0.0542050786,False,2025-02-02,12.0543231711,28601105.1405846,2026-02-25T21:13:34.958113
54017272,(2020 KV5),24.2,0.0384197891,0.0859092601,False,2025-02-02,17.6371601147,41759581.405394218,2026-02-25T21:13:34.958118
54244181,(2022 BV6),25.51,0.0210162379,0.0469937366,False,2025-02-02,11.118865325,10787910.628367656,2026-02-25T21:13:34.958121
54324412,(2022 VU),24.96,0.0270741591,0.0605396602,False,2025-02-02,14.5134910753,64623216.240180057,2026-02-25T21:13:34.958123
54441265,(2024 JO10),25.08,0.0256185754,0.0572848762,False,2025-02-02,16.7896898637,65346143.803094058,2026-02-25T21:13:34.958128
54516263,(2025 BU),26.53,0.0131387781,0.0293792009,False,2025-02-02,5.0751430847,3384359.539391381,2026-02-25T21:13:34.958130
54518677,(2025 CJ1),28.2,0.0060891262,0.0136157002,False,2025-02-02,5.9733414182,1267331.251041394,2026-02-25T21:13:34.958132
54518713,(2025 CS1),26.99,0.0106305314,0.023770591,False,2025-02-02,16.3439992628,2031071.356859445,2026-02-25T21:13:34.958134
54518887,(2025 CD2),26.71,0.0120935826,0.0270420729,False,2025-02-02,11.2620090354,1130084.046550511,2026-02-25T21:13:34.958136
3729141,(2015 TQ21),27.4,0.0088014652,0.0196806745,False,2025-02-01,24.400840832,23170348.451185032,2026-02-25T21:13:34.958138
3741971,(2016 CA30),27.5,0.008405334,0.0187948982,False,2025-02-01,10.904761728,22274384.816868142,2026-02-25T21:13:34.958140
3743127,(2016 CZ192),24.6,0.0319561887,0.0714562102,False,2025-02-01,13.3424161951,25059845.559962779,2026-02-25T21:13:34.958143
3745113,(2016 EL27),26.1,0.0160160338,0.0358129403,False,2025-02-01,8.7209352847,34471592.29238681,2026-02-25T21:13:34.958145
3797901,(2018 BG5),24.08,0.0406027058,0.0907904103,False,2025-02-01,18.961352417,53438187.010614808,2026-02-25T21:13:34.958147
54319154,(2022 UF6),23.18,0.0614546821,0.1374168468,False,2025-02-01,12.2330783651,63594610.457644707,2026-02-25T21:13:34.958149
54341593,(2023 CC3),26.94,0.0108781483,0.0243242791,False,2025-02-01,19.3021633997,55115373.416068577,2026-02-25T21:13:34.958151
54516182,(2025 BG),20.76,0.1873074177,0.4188321187,False,2025-02-01,12.0593152413,13487997.273273271,2026-02-25T21:13:34.958153
54517336,(2025 BG4),25.82,0.0182202771,0.0407417781,False,2025-02-01,17.8705060694,4973888.265090152,2026-02-25T21:13:34.958337
54517794,(2025 BR7),25.13,0.0250354255,0.0559809132,False,2025-02-01,16.6001065134,5763536.49298394,2026-02-25T21:13:34.958340
54518919,(2025 CJ2),23.82,0.0457672667,0.1023387195,False,2025-02-01,11.1781619717,17760100.193622912,2026-02-25T21:13:34.958342
54521710,(2025 DH25),26.93,0.0109283596,0.0244365549,False,2025-02-01,3.6339554271,7821715.716916948,2026-02-25T21:13:34.958347
