nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion,diametro_promedio_km,categoria_tamano,fecha_procesamiento
54209293,(2021 RW99),22.56,0.0817626533,0.1828268509,False,2026-04-19,16.884330143,46436340.11642566,2026-04-15 06:25:52.411840,0.1322947521,Mediano,2026-04-15 01:26:00
54359258,(2023 KU),22.28,0.0930154254,0.2079888141,False,2026-04-19,24.0742053654,29823905.54878373,2026-04-15 06:25:52.411847,0.15050211975,Mediano,2026-04-15 01:26:00
54431498,(2024 FE1),26.13,0.0157962856,0.0353215683,False,2026-04-19,5.6487653513,28828760.48638894,2026-04-15 06:25:52.411853,0.02555892695,Pequeño,2026-04-15 01:26:00
54442322,(2024 JX17),20.41,0.2200670271,0.4920848322,True,2026-04-19,20.3298805273,14925812.695411947,2026-04-15 06:25:52.411861,0.35607592965,Grande,2026-04-15 01:26:00
54607544,(2026 GH1),25.189,0.0243643582,0.0544803613,False,2026-04-19,7.0381411704,8754024.527745012,2026-04-15 06:25:52.411868,0.03942235975,Pequeño,2026-04-15 01:26:00
3418110,(2008 NP3),22.83,0.0722029558,0.1614507173,False,2026-04-17,8.2769462638,46853090.44610336,2026-04-15 06:25:52.411876,0.11682683655,Mediano,2026-04-15 01:26:00
3789392,(2017 VV13),23.9,0.04411182,0.0986370281,False,2026-04-17,6.7276727555,51409410.470121376,2026-04-15 06:25:52.411883,0.07137442405,Mediano,2026-04-15 01:26:00
54016425,(2020 FW6),23.22,0.0603330078,0.1349087066,False,2026-04-17,14.1833521535,28943508.78458309,2026-04-15 06:25:52.411891,0.09762085720000001,Mediano,2026-04-15 01:26:00
54144105,(2021 JK2),24.77,0.0295498293,0.0660754271,False,2026-04-17,5.7162312758,15653724.99399243,2026-04-15 06:25:52.411897,0.0478126282,Pequeño,2026-04-15 01:26:00
54147140,(2021 KS1),28.28,0.0058688766,0.013123207,False,2026-04-17,7.6729866322,23716114.15311984,2026-04-15 06:25:52.411909,0.0094960418,Pequeño,2026-04-15 01:26:00
54231711,(2021 UC74),27.55,0.0082140053,0.0183670741,False,2026-04-17,4.7362729228,37920417.71278197,2026-04-15 06:25:52.411916,0.0132905397,Pequeño,2026-04-15 01:26:00
54268437,(2022 GE),27.15,0.0098754064,0.02208208,False,2026-04-17,24.5277600459,62119757.190937184,2026-04-15 06:25:52.411923,0.0159787432,Pequeño,2026-04-15 01:26:00
54320710,(2022 UQ10),24.59,0.0321036917,0.0717860371,False,2026-04-17,10.666446478,67299933.63334106,2026-04-15 06:25:52.411929,0.0519448644,Mediano,2026-04-15 01:26:00
54354405,(2023 GL2),24.43,0.0345585074,0.0772751717,False,2026-04-17,7.5589573599,16975985.590940423,2026-04-15 06:25:52.411942,0.05591683955,Mediano,2026-04-15 01:26:00
54356032,(2023 HU3),25.01,0.026457876,0.0591616093,False,2026-04-17,17.7766292062,18238531.65491413,2026-04-15 06:25:52.411950,0.04280974265,Pequeño,2026-04-15 01:26:00
54500712,(2024 WU3),28.17,0.0061738344,0.0138051134,False,2026-04-17,7.2688158059,21474263.092497785,2026-04-15 06:25:52.411960,0.0099894739,Pequeño,2026-04-15 01:26:00
54580263,(2026 BU7),24.44,0.0343997255,0.0769201245,False,2026-04-17,3.8380576036,15262624.2962309,2026-04-15 06:25:52.411967,0.055659925,Mediano,2026-04-15 01:26:00
54607107,(2026 FS8),24.713,0.0303357668,0.0678328366,False,2026-04-17,5.4120983115,22983795.105203405,2026-04-15 06:25:52.411976,0.0490843017,Pequeño,2026-04-15 01:26:00
54607528,(2026 GA1),26.231,0.0150783902,0.0337163054,False,2026-04-17,7.769937888,4687883.332237189,2026-04-15 06:25:52.411982,0.0243973478,Pequeño,2026-04-15 01:26:00
2467336,467336 (2002 LT38),20.61,0.2007035141,0.4487867009,True,2026-04-18,16.7314748512,46387137.72105776,2026-04-15 06:25:52.411990,0.3247451075,Grande,2026-04-15 01:26:00
3574830,(2011 PU1),25.6,0.0201629919,0.0450858206,False,2026-04-18,14.5900882025,49572900.10410935,2026-04-15 06:25:52.411996,0.03262440625,Pequeño,2026-04-15 01:26:00
3608785,(2012 SL8),20.84,0.1805323255,0.4036825521,False,2026-04-18,16.4980686901,27438568.917853713,2026-04-15 06:25:52.412003,0.2921074388,Grande,2026-04-15 01:26:00
3715997,(2015 HH),26.1,0.0160160338,0.0358129403,False,2026-04-18,9.9449240644,29130337.644961897,2026-04-15 06:25:52.412011,0.025914487049999997,Pequeño,2026-04-15 01:26:00
3720440,(2015 KJ122),22.0,0.1058168859,0.2366137501,True,2026-04-18,20.4241024194,8649242.334931754,2026-04-15 06:25:52.412018,0.171215318,Mediano,2026-04-15 01:26:00
3826795,(2018 PZ21),26.7,0.0121494041,0.0271668934,False,2026-04-18,9.8093518405,49561969.10742674,2026-04-15 06:25:52.412025,0.01965814875,Pequeño,2026-04-15 01:26:00
3841545,(2019 HS2),26.6,0.0127219879,0.0284472297,False,2026-04-18,18.3719431485,43057288.77321528,2026-04-15 06:25:52.412031,0.0205846088,Pequeño,2026-04-15 01:26:00
54101717,(2020 YB3),26.76,0.0118182991,0.0264265201,False,2026-04-18,4.3838239565,38263837.11135798,2026-04-15 06:25:52.412043,0.0191224096,Pequeño,2026-04-15 01:26:00
54216378,(2021 VE4),24.0,0.0421264611,0.0941976306,False,2026-04-18,12.2172600167,23602446.669616863,2026-04-15 06:25:52.412050,0.06816204584999999,Mediano,2026-04-15 01:26:00
54376988,(2023 QD),26.73,0.011982708,0.0267941497,False,2026-04-18,10.5754402862,27118452.76844207,2026-04-15 06:25:52.412057,0.01938842885,Pequeño,2026-04-15 01:26:00
54490867,(2024 TX13),24.56,0.0325502986,0.0727846803,False,2026-04-18,4.460955323,16870738.5676255,2026-04-15 06:25:52.412068,0.05266748945,Mediano,2026-04-15 01:26:00
54606835,(2026 FU4),25.802,0.0183719382,0.0410809028,False,2026-04-18,2.7707857761,24324566.867786262,2026-04-15 06:25:52.412075,0.0297264205,Pequeño,2026-04-15 01:26:00
54606977,(2026 FJ6),22.986,0.0671977879,0.1502588217,False,2026-04-18,9.8419485014,6037731.43694954,2026-04-15 06:25:52.412082,0.1087283048,Mediano,2026-04-15 01:26:00
54607542,(2026 GF1),25.708,0.0191846984,0.0428982898,False,2026-04-18,4.3032248857,8147396.577977275,2026-04-15 06:25:52.412088,0.0310414941,Pequeño,2026-04-15 01:26:00
54607547,(2026 GM1),25.489,0.0212204689,0.047450411,False,2026-04-18,5.6280238092,1329690.315322396,2026-04-15 06:25:52.412095,0.03433543995,Pequeño,2026-04-15 01:26:00
3825168,(2018 LG4),27.0,0.0105816886,0.023661375,False,2026-04-15,6.3388664822,37920244.957161695,2026-04-15 06:25:52.412103,0.0171215318,Pequeño,2026-04-15 01:26:00
54514243,(2025 AB1),26.16,0.0155795524,0.0348369383,False,2026-04-15,10.6245428644,22492928.291048866,2026-04-15 06:25:52.412111,0.025208245350000002,Pequeño,2026-04-15 01:26:00
54601989,(2026 CV1),22.65,0.0784431412,0.1754041962,False,2026-04-15,5.8063218154,19833457.587526545,2026-04-15 06:25:52.412117,0.1269236687,Mediano,2026-04-15 01:26:00
54016279,(2020 BR16),24.64,0.0313729225,0.0701519874,False,2026-04-16,13.558226484,65009758.227089286,2026-04-15 06:25:52.412125,0.05076245495,Mediano,2026-04-15 01:26:00
54214059,(2021 UD6),25.72,0.0190789723,0.0426618789,False,2026-04-16,8.3077499594,51890318.105276406,2026-04-15 06:25:52.412132,0.0308704256,Pequeño,2026-04-15 01:26:00
54271304,(2022 GP3),26.49,0.0133830462,0.029925401,False,2026-04-16,6.8305129356,13800010.573734658,2026-04-15 06:25:52.412140,0.0216542236,Pequeño,2026-04-15 01:26:00
54319161,(2022 UL6),24.63,0.0315177333,0.0704757942,False,2026-04-16,8.0882911677,72498714.1266973,2026-04-15 06:25:52.412147,0.05099676375,Mediano,2026-04-15 01:26:00
54335238,(2022 YF1),25.06,0.0258556212,0.0578149266,False,2026-04-16,7.6456175131,73921923.87495406,2026-04-15 06:25:52.412153,0.0418352739,Pequeño,2026-04-15 01:26:00
54441876,(2024 JP16),26.42,0.0138214936,0.0309057992,False,2026-04-16,7.9726874362,19857169.448313024,2026-04-15 06:25:52.412160,0.0223636464,Pequeño,2026-04-15 01:26:00
54607521,(2026 GT),26.422,0.0138087694,0.030877347,False,2026-04-16,16.0165130259,4472723.881554162,2026-04-15 06:25:52.412166,0.0223430582,Pequeño,2026-04-15 01:26:00
54607632,(2026 GA2),26.796,0.0116239833,0.0259920168,False,2026-04-16,10.5204777444,1364715.111113377,2026-04-15 06:25:52.412173,0.01880800005,Pequeño,2026-04-15 01:26:00
